# Mouse TFs were from TcoF-DBv2 (PMID: 27789689). We performed symbol update and Ensembl gene id mapping in December, 2020. -- MG
Symbol	EntrezID	Name	Species	Symbol_20201219	EnsemblID
Gli1	14632	GLI-Kruppel family member GLI1	mouse	Gli1	ENSMUSG00000025407
Gli2	14633	GLI-Kruppel family member GLI2	mouse	Gli2	ENSMUSG00000048402
Gli3	14634	GLI-Kruppel family member GLI3	mouse	Gli3	ENSMUSG00000021318
Glis1	230587	GLIS family zinc finger 1	mouse	Glis1	ENSMUSG00000034762
Glis2	83396	GLIS family zinc finger 2	mouse	Glis2	ENSMUSG00000014303
Glis3	226075	GLIS family zinc finger 3	mouse	Glis3	ENSMUSG00000052942
Gm13154	433804	predicted gene 13154	mouse	Zfp985	ENSMUSG00000065999
Gm22	195209	predicted gene 22	mouse	Zfp469	ENSMUSG00000043903
Gm4944	240038	predicted gene 4944	mouse	Zfp994	ENSMUSG00000096433
Gm5581	108169183	predicted gene 5581	mouse	Gm5581	ENSMUSG00000061969
Gm6712	100862203	predicted gene 6712	mouse	Gm6712	ENSMUSG00000072761
Gm8008	666257	predicted gene 8008	mouse	Zfp660	ENSMUSG00000111063
Gmeb1	56809	glucocorticoid modulatory element binding protein 1	mouse	Gmeb1	ENSMUSG00000028901
Gmeb2	229004	glucocorticoid modulatory element binding protein 2	mouse	Gmeb2	ENSMUSG00000038705
Gon4l	76022	gon-4-like (C.elegans)	mouse	Gon4l	ENSMUSG00000054199
Grhl1	195733	grainyhead-like 1 (Drosophila)	mouse	Grhl1	ENSMUSG00000020656
Grhl2	252973	grainyhead-like 2 (Drosophila)	mouse	Grhl2	ENSMUSG00000022286
Grhl3	230824	grainyhead-like 3 (Drosophila)	mouse	Grhl3	ENSMUSG00000037188
Gsc	14836	goosecoid homeobox	mouse	Gsc	ENSMUSG00000021095
Gsc2	195333	goosecoid homebox 2	mouse	Gsc2	ENSMUSG00000022738
Gsx1	14842	GS homeobox 1	mouse	Gsx1	ENSMUSG00000053129
Gsx2	14843	GS homeobox 2	mouse	Gsx2	ENSMUSG00000035946
Gtf2i	14886	general transcription factor II I	mouse	Gtf2i	ENSMUSG00000060261
Gtf3a	66596	general transcription factor III A	mouse	Gtf3a	ENSMUSG00000016503
Gzf1	74533	GDNF-inducible zinc finger protein 1	mouse	Gzf1	ENSMUSG00000027439
Hand1	15110	heart and neural crest derivatives expressed transcript 1	mouse	Hand1	ENSMUSG00000037335
Hand2	15111	heart and neural crest derivatives expressed transcript 2	mouse	Hand2	ENSMUSG00000038193
Hbp1	73389	high mobility group box transcription factor 1	mouse	Hbp1	ENSMUSG00000002996
Hdx	245596	highly divergent homeobox	mouse	Hdx	ENSMUSG00000034551
Helt	234219	helt bHLH transcription factor	mouse	Helt	ENSMUSG00000047171
Hes1	15205	hairy and enhancer of split 1 (Drosophila)	mouse	Hes1	ENSMUSG00000022528
Hes2	15206	hairy and enhancer of split 2 (Drosophila)	mouse	Hes2	ENSMUSG00000028940
Hes3	15207	hairy and enhancer of split 3 (Drosophila)	mouse	Hes3	ENSMUSG00000028946
Hes5	15208	hairy and enhancer of split 5 (Drosophila)	mouse	Hes5	ENSMUSG00000048001
Hes6	55927	hairy and enhancer of split 6	mouse	Hes6	ENSMUSG00000067071
Hes7	84653	hairy and enhancer of split 7 (Drosophila)	mouse	Hes7	ENSMUSG00000023781
Hesx1	15209	homeobox gene expressed in ES cells	mouse	Hesx1	ENSMUSG00000040726
Hey1	15213	hairy/enhancer-of-split related with YRPW motif 1	mouse	Hey1	ENSMUSG00000040289
Hey2	15214	hairy/enhancer-of-split related with YRPW motif 2	mouse	Hey2	ENSMUSG00000019789
Heyl	56198	hairy/enhancer-of-split related with YRPW motif-like	mouse	Heyl	ENSMUSG00000032744
Hhex	15242	hematopoietically expressed homeobox	mouse	Hhex	ENSMUSG00000024986
Hic1	15248	hypermethylated in cancer 1	mouse	Hic1	ENSMUSG00000043099
Hic2	58180	hypermethylated in cancer 2	mouse	Hic2	ENSMUSG00000050240
Hif1a	15251	"hypoxia inducible factor 1, alpha subunit"	mouse	Hif1a	ENSMUSG00000021109
Hif3a	53417	"hypoxia inducible factor 3, alpha subunit"	mouse	Hif3a	ENSMUSG00000004328
Hinfp	102423	histone H4 transcription factor	mouse	Hinfp	ENSMUSG00000032119
Hivep1	110521	human immunodeficiency virus type I enhancer binding protein 1	mouse	Hivep1	ENSMUSG00000021366
Hivep2	15273	human immunodeficiency virus type I enhancer binding protein 2	mouse	Hivep2	ENSMUSG00000015501
Hivep3	16656	human immunodeficiency virus type I enhancer binding protein 3	mouse	Hivep3	ENSMUSG00000028634
Hkr1	110189	GLI-Kruppel family member HKR1	mouse	Hkr1	
Hlf	217082	hepatic leukemia factor	mouse	Hlf	ENSMUSG00000003949
Hltf	20585	helicase-like transcription factor	mouse	Hltf	ENSMUSG00000002428
Hlx	15284	H2.0-like homeobox	mouse	Hlx	ENSMUSG00000039377
Hmbox1	219150	homeobox containing 1	mouse	Hmbox1	ENSMUSG00000021972
Hmg20a	66867	high mobility group 20A	mouse	Hmg20a	ENSMUSG00000032329
Hmg20b	15353	high mobility group 20B	mouse	Hmg20b	ENSMUSG00000020232
Hmga1	15361	high mobility group AT-hook 1	mouse	Hmga1	ENSMUSG00000046711
Hmga2	15364	high mobility group AT-hook 2	mouse	Hmga2	ENSMUSG00000056758
Hmgxb3	106894	HMG box domain containing 3	mouse	Hmgxb3	ENSMUSG00000024622
Hmgxb4	70823	HMG box domain containing 4	mouse	Hmgxb4	ENSMUSG00000034518
Hmx1	15371	H6 homeobox 1	mouse	Hmx1	ENSMUSG00000067438
Hmx2	15372	H6 homeobox 2	mouse	Hmx2	ENSMUSG00000050100
Hmx3	15373	H6 homeobox 3	mouse	Hmx3	ENSMUSG00000040148
Hnf1a	21405	HNF1 homeobox A	mouse	Hnf1a	ENSMUSG00000029556
Hnf1b	21410	HNF1 homeobox B	mouse	Hnf1b	ENSMUSG00000020679
Hnf4a	15378	"hepatic nuclear factor 4, alpha"	mouse	Hnf4a	ENSMUSG00000017950
Hnf4g	30942	"hepatocyte nuclear factor 4, gamma"	mouse	Hnf4g	ENSMUSG00000017688
Hnrnpk	15387	heterogeneous nuclear ribonucleoprotein K	mouse	Hnrnpk	ENSMUSG00000021546
Homez	239099	homeodomain leucine zipper-encoding gene	mouse	Homez	ENSMUSG00000057156
Hopx	74318	HOP homeobox	mouse	Hopx	ENSMUSG00000059325
Hoxa1	15394	homeobox A1	mouse	Hoxa1	ENSMUSG00000029844
Hoxa10	15395	homeobox A10	mouse	Hoxa10	ENSMUSG00000000938
Hoxa11	15396	homeobox A11	mouse	Hoxa11	ENSMUSG00000038210
Hoxa13	15398	homeobox A13	mouse	Hoxa13	ENSMUSG00000038203
Hoxa2	15399	homeobox A2	mouse	Hoxa2	ENSMUSG00000014704
Hoxa3	15400	homeobox A3	mouse	Hoxa3	ENSMUSG00000079560
Hoxa4	15401	homeobox A4	mouse	Hoxa4	ENSMUSG00000000942
Hoxa5	15402	homeobox A5	mouse	Hoxa5	ENSMUSG00000038253
Hoxa6	15403	homeobox A6	mouse	Hoxa6	ENSMUSG00000043219
Hoxa7	15404	homeobox A7	mouse	Hoxa7	ENSMUSG00000038236
Hoxa9	15405	homeobox A9	mouse	Hoxa9	ENSMUSG00000038227
Hoxb1	15407	homeobox B1	mouse	Hoxb1	ENSMUSG00000018973
Hoxb13	15408	homeobox B13	mouse	Hoxb13	ENSMUSG00000049604
Hoxb2	103889	homeobox B2	mouse	Hoxb2	ENSMUSG00000075588
Hoxb3	15410	homeobox B3	mouse	Hoxb3	ENSMUSG00000048763
Hoxb4	15412	homeobox B4	mouse	Hoxb4	ENSMUSG00000038692
Hoxb5	15413	homeobox B5	mouse	Hoxb5	ENSMUSG00000038700
Hoxb6	15414	homeobox B6	mouse	Hoxb6	ENSMUSG00000000690
Hoxb7	15415	homeobox B7	mouse	Hoxb7	ENSMUSG00000038721
Hoxb8	15416	homeobox B8	mouse	Hoxb8	ENSMUSG00000056648
Hoxb9	15417	homeobox B9	mouse	Hoxb9	ENSMUSG00000020875
Hoxc10	209448	homeobox C10	mouse	Hoxc10	ENSMUSG00000022484
Hoxc11	109663	homeobox C11	mouse	Hoxc11	ENSMUSG00000001656
Hoxc12	15421	homeobox C12	mouse	Hoxc12	ENSMUSG00000050328
Hoxc13	15422	homeobox C13	mouse	Hoxc13	ENSMUSG00000001655
Hoxc4	15423	homeobox C4	mouse	Hoxc4	ENSMUSG00000075394
Hoxc5	15424	homeobox C5	mouse	Hoxc5	ENSMUSG00000022485
Hoxc6	15425	homeobox C6	mouse	Hoxc6	ENSMUSG00000001661
Hoxc8	15426	homeobox C8	mouse	Hoxc8	ENSMUSG00000001657
Hoxc9	15427	homeobox C9	mouse	Hoxc9	ENSMUSG00000036139
Hoxd1	15429	homeobox D1	mouse	Hoxd1	ENSMUSG00000042448
Hoxd10	15430	homeobox D10	mouse	Hoxd10	ENSMUSG00000050368
Hoxd11	15431	homeobox D11	mouse	Hoxd11	ENSMUSG00000042499
Hoxd12	15432	homeobox D12	mouse	Hoxd12	ENSMUSG00000001823
Hoxd13	15433	homeobox D13	mouse	Hoxd13	ENSMUSG00000001819
Hoxd3	15434	homeobox D3	mouse	Hoxd3	ENSMUSG00000079277
Hoxd4	15436	homeobox D4	mouse	Hoxd4	ENSMUSG00000101174
Hoxd8	15437	homeobox D8	mouse	Hoxd8	ENSMUSG00000027102
Hoxd9	15438	homeobox D9	mouse	Hoxd9	ENSMUSG00000043342
Hsf1	15499	heat shock factor 1	mouse	Hsf1	ENSMUSG00000022556
Hsf2	15500	heat shock factor 2	mouse	Hsf2	ENSMUSG00000019878
Hsf3	245525	heat shock transcription factor 3	mouse	Hsf3	ENSMUSG00000045802
Hsf4	26386	heat shock transcription factor 4	mouse	Hsf4	ENSMUSG00000033249
Hsf5	327992	heat shock transcription factor family member 5	mouse	Hsf5	ENSMUSG00000070345
Hsfy2	71066	"heat shock transcription factor, Y-linked 2"	mouse	Hsfy2	ENSMUSG00000045336
Id1	15901	inhibitor of DNA binding 1	mouse	Id1	ENSMUSG00000042745
Id2	15902	inhibitor of DNA binding 2	mouse	Id2	ENSMUSG00000020644
Id3	15903	inhibitor of DNA binding 3	mouse	Id3	ENSMUSG00000007872
Id4	15904	inhibitor of DNA binding 4	mouse	Id4	ENSMUSG00000021379
Ikzf1	22778	IKAROS family zinc finger 1	mouse	Ikzf1	ENSMUSG00000018654
Ikzf2	22779	IKAROS family zinc finger 2	mouse	Ikzf2	ENSMUSG00000025997
Ikzf3	22780	IKAROS family zinc finger 3	mouse	Ikzf3	ENSMUSG00000018168
Ikzf4	22781	IKAROS family zinc finger 4	mouse	Ikzf4	ENSMUSG00000002578
Ikzf5	67143	IKAROS family zinc finger 5	mouse	Ikzf5	ENSMUSG00000040167
Insm1	53626	insulinoma-associated 1	mouse	Insm1	ENSMUSG00000068154
Insm2	56856	insulinoma-associated 2	mouse	Insm2	ENSMUSG00000045440
Irf1	16362	interferon regulatory factor 1	mouse	Irf1	ENSMUSG00000018899
Irf2	16363	interferon regulatory factor 2	mouse	Irf2	ENSMUSG00000031627
Irf3	54131	interferon regulatory factor 3	mouse	Irf3	ENSMUSG00000003184
Irf4	16364	interferon regulatory factor 4	mouse	Irf4	ENSMUSG00000021356
Irf5	27056	interferon regulatory factor 5	mouse	Irf5	ENSMUSG00000029771
Irf6	54139	interferon regulatory factor 6	mouse	Irf6	ENSMUSG00000026638
Irf7	54123	interferon regulatory factor 7	mouse	Irf7	ENSMUSG00000025498
Irf8	15900	interferon regulatory factor 8	mouse	Irf8	ENSMUSG00000041515
Irf9	16391	interferon regulatory factor 9	mouse	Irf9	ENSMUSG00000002325
Irx1	16371	Iroquois related homeobox 1 (Drosophila)	mouse	Irx1	ENSMUSG00000060969
Irx2	16372	Iroquois related homeobox 2 (Drosophila)	mouse	Irx2	ENSMUSG00000001504
Irx3	16373	Iroquois related homeobox 3	mouse	Irx3	ENSMUSG00000031734
Irx4	50916	Iroquois related homeobox 4 (Drosophila)	mouse	Irx4	ENSMUSG00000021604
Irx5	54352	Iroquois related homeobox 5 (Drosophila)	mouse	Irx5	ENSMUSG00000031737
Irx6	64379	Iroquois related homeobox 6 (Drosophila)	mouse	Irx6	ENSMUSG00000031738
Isl1	16392	"ISL1 transcription factor, LIM/homeodomain"	mouse	Isl1	ENSMUSG00000042258
Isl2	104360	insulin related protein 2 (islet 2)	mouse	Isl2	ENSMUSG00000032318
Isx	71597	intestine specific homeobox	mouse	Isx	ENSMUSG00000031621
Jarid2	16468	"jumonji, AT rich interactive domain 2"	mouse	Jarid2	ENSMUSG00000038518
Jazf1	231986	JAZF zinc finger 1	mouse	Jazf1	ENSMUSG00000063568
Jdp2	81703	Jun dimerization protein 2	mouse	Jdp2	ENSMUSG00000034271
Jun	16476	jun proto-oncogene	mouse	Jun	ENSMUSG00000052684
Junb	16477	jun B proto-oncogene	mouse	Junb	ENSMUSG00000052837
Jund	16478	jun D proto-oncogene	mouse	Jund	ENSMUSG00000071076
Jund2	110330	Jun proto-oncogene related gene d2	mouse	Jund2	
Kat5	81601	K(lysine) acetyltransferase 5	mouse	Kat5	ENSMUSG00000024926
Kat6a	244349	K(lysine) acetyltransferase 6A	mouse	Kat6a	ENSMUSG00000031540
Kat6b	54169	K(lysine) acetyltransferase 6B	mouse	Kat6b	ENSMUSG00000021767
Kat7	217127	K(lysine) acetyltransferase 7	mouse	Kat7	ENSMUSG00000038909
Kat8	67773	K(lysine) acetyltransferase 8	mouse	Kat8	ENSMUSG00000030801
Kcmf1	74287	potassium channel modulatory factor 1	mouse	Kcmf1	ENSMUSG00000055239
Kcnip3	56461	"Kv channel interacting protein 3, calsenilin"	mouse	Kcnip3	ENSMUSG00000079056
Kdm2a	225876	lysine (K)-specific demethylase 2A	mouse	Kdm2a	ENSMUSG00000054611
Kdm5a	214899	lysine (K)-specific demethylase 5A	mouse	Kdm5a	ENSMUSG00000030180
Kdm5b	75605	lysine (K)-specific demethylase 5B	mouse	Kdm5b	ENSMUSG00000042207
Kdm5c	20591	lysine (K)-specific demethylase 5C	mouse	Kdm5c	ENSMUSG00000025332
Kdm5d	20592	lysine (K)-specific demethylase 5D	mouse	Kdm5d	ENSMUSG00000056673
Khsrp	16549	KH-type splicing regulatory protein	mouse	Khsrp	ENSMUSG00000007670
Klf1	16596	Kruppel-like factor 1 (erythroid)	mouse	Klf1	ENSMUSG00000054191
Klf10	21847	Kruppel-like factor 10	mouse	Klf10	ENSMUSG00000037465
Klf11	194655	Kruppel-like factor 11	mouse	Klf11	ENSMUSG00000020653
Klf12	16597	Kruppel-like factor 12	mouse	Klf12	ENSMUSG00000072294
Klf13	50794	Kruppel-like factor 13	mouse	Klf13	ENSMUSG00000052040
Klf14	619665	Kruppel-like factor 14	mouse	Klf14	ENSMUSG00000073209
Klf15	66277	Kruppel-like factor 15	mouse	Klf15	ENSMUSG00000030087
Klf16	118445	Kruppel-like factor 16	mouse	Klf16	ENSMUSG00000035397
Klf17	75753	Kruppel-like factor 17	mouse	Klf17	ENSMUSG00000048626
Klf2	16598	Kruppel-like factor 2 (lung)	mouse	Klf2	ENSMUSG00000055148
Klf3	16599	Kruppel-like factor 3 (basic)	mouse	Klf3	ENSMUSG00000029178
Klf4	16600	Kruppel-like factor 4 (gut)	mouse	Klf4	ENSMUSG00000003032
Klf5	12224	Kruppel-like factor 5	mouse	Klf5	ENSMUSG00000005148
Klf6	23849	Kruppel-like factor 6	mouse	Klf6	ENSMUSG00000000078
Klf7	93691	Kruppel-like factor 7 (ubiquitous)	mouse	Klf7	ENSMUSG00000025959
Klf8	245671	Kruppel-like factor 8	mouse	Klf8	ENSMUSG00000041649
Klf9	16601	Kruppel-like factor 9	mouse	Klf9	ENSMUSG00000033863
Kmt2a	214162	lysine (K)-specific methyltransferase 2A	mouse	Kmt2a	ENSMUSG00000002028
Kmt2b	75410	lysine (K)-specific methyltransferase 2B	mouse	Kmt2b	ENSMUSG00000006307
Kmt2c	231051	lysine (K)-specific methyltransferase 2C	mouse	Kmt2c	ENSMUSG00000038056
Kmt2e	69188	lysine (K)-specific methyltransferase 2E	mouse	Kmt2e	ENSMUSG00000029004
L3mbtl1	241764	l(3)mbt-like (Drosophila)	mouse	L3mbtl1	ENSMUSG00000035576
L3mbtl2	214669	l(3)mbt-like 2 (Drosophila)	mouse	L3mbtl2	ENSMUSG00000022394
L3mbtl3	237339	l(3)mbt-like 3 (Drosophila)	mouse	L3mbtl3	ENSMUSG00000039089
L3mbtl4	320858	l(3)mbt-like 4 (Drosophila)	mouse	L3mbtl4	ENSMUSG00000041565
Lbx1	16814	ladybird homeobox homolog 1 (Drosophila)	mouse	Lbx1	ENSMUSG00000025216
Lbx2	16815	ladybird homeobox homolog 2 (Drosophila)	mouse	Lbx2	ENSMUSG00000034968
Lcor	212391	ligand dependent nuclear receptor corepressor	mouse	Lcor	ENSMUSG00000025019
Lcorl	209707	ligand dependent nuclear receptor corepressor-like	mouse	Lcorl	ENSMUSG00000015882
Lef1	16842	lymphoid enhancer binding factor 1	mouse	Lef1	ENSMUSG00000027985
Lhx1	16869	LIM homeobox protein 1	mouse	Lhx1	ENSMUSG00000018698
Lhx2	16870	LIM homeobox protein 2	mouse	Lhx2	ENSMUSG00000000247
Lhx3	16871	LIM homeobox protein 3	mouse	Lhx3	ENSMUSG00000026934
Lhx4	16872	LIM homeobox protein 4	mouse	Lhx4	ENSMUSG00000026468
Lhx5	16873	LIM homeobox protein 5	mouse	Lhx5	ENSMUSG00000029595
Lhx6	16874	LIM homeobox protein 6	mouse	Lhx6	ENSMUSG00000026890
Lhx8	16875	LIM homeobox protein 8	mouse	Lhx8	ENSMUSG00000096225
Lhx9	16876	LIM homeobox protein 9	mouse	Lhx9	ENSMUSG00000019230
Lmx1a	110648	LIM homeobox transcription factor 1 alpha	mouse	Lmx1a	ENSMUSG00000026686
Lmx1b	16917	LIM homeobox transcription factor 1 beta	mouse	Lmx1b	ENSMUSG00000038765
Lmyc2	110450	lung carcinoma myc related oncogene 2	mouse	Lmyc2	
Lrrfip1	16978	leucine rich repeat (in FLII) interacting protein 1	mouse	Lrrfip1	ENSMUSG00000026305
Lrrfip2	71268	leucine rich repeat (in FLII) interacting protein 2	mouse	Lrrfip2	ENSMUSG00000032497
Lyar	17089	Ly1 antibody reactive clone	mouse	Lyar	ENSMUSG00000067367
Lyl1	17095	lymphoblastomic leukemia 1	mouse	Lyl1	ENSMUSG00000034041
Mael	98558	maelstrom spermatogenic transposon silencer	mouse	Mael	ENSMUSG00000040629
Maf	17132	avian musculoaponeurotic fibrosarcoma oncogene homolog	mouse	Maf	ENSMUSG00000055435
Maf1	68877	"MAF1 homolog, negative regulator of RNA polymerase III"	mouse	Maf1	ENSMUSG00000022553
Mafa	378435	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein A (avian)"	mouse	Mafa	ENSMUSG00000047591
Mafb	16658	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)"	mouse	Mafb	ENSMUSG00000074622
Maff	17133	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)"	mouse	Maff	ENSMUSG00000042622
Mafg	17134	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)"	mouse	Mafg	ENSMUSG00000051510
Mafk	17135	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)"	mouse	Mafk	ENSMUSG00000018143
Matr3	17184	matrin 3	mouse	Matr3	ENSMUSG00000037236
Max	17187	Max protein	mouse	Max	ENSMUSG00000059436
Maz	17188	MYC-associated zinc finger protein (purine-binding transcription factor)	mouse	Maz	ENSMUSG00000030678
Mbd1	17190	methyl-CpG binding domain protein 1	mouse	Mbd1	ENSMUSG00000024561
Mbd2	17191	methyl-CpG binding domain protein 2	mouse	Mbd2	ENSMUSG00000024513
Mbd3	17192	methyl-CpG binding domain protein 3	mouse	Mbd3	ENSMUSG00000035478
Mbd3l1	73503	methyl-CpG binding domain protein 3-like 1	mouse	Mbd3l1	ENSMUSG00000038691
Mbd3l2	234988	methyl-CpG binding domain protein 3-like 2	mouse	Mbd3l2	ENSMUSG00000047508
Mbd4	17193	methyl-CpG binding domain protein 4	mouse	Mbd4	ENSMUSG00000030322
Mbd5	109241	methyl-CpG binding domain protein 5	mouse	Mbd5	ENSMUSG00000036792
Mbd6	110962	methyl-CpG binding domain protein 6	mouse	Mbd6	ENSMUSG00000025409
Mbnl3	171170	muscleblind-like 3 (Drosophila)	mouse	Mbnl3	ENSMUSG00000036109
Mecom	14013	MDS1 and EVI1 complex locus	mouse	Mecom	ENSMUSG00000027684
Mecp2	17257	methyl CpG binding protein 2	mouse	Mecp2	ENSMUSG00000031393
Mef2a	17258	myocyte enhancer factor 2A	mouse	Mef2a	ENSMUSG00000030557
Mef2b	17259	myocyte enhancer factor 2B	mouse	Mef2b	ENSMUSG00000079033
Mef2c	17260	myocyte enhancer factor 2C	mouse	Mef2c	ENSMUSG00000005583
Mef2d	17261	myocyte enhancer factor 2D	mouse	Mef2d	ENSMUSG00000001419
Meis1	17268	Meis homeobox 1	mouse	Meis1	ENSMUSG00000020160
Meis2	17536	Meis homeobox 2	mouse	Meis2	ENSMUSG00000027210
Meis3	17537	Meis homeobox 3	mouse	Meis3	ENSMUSG00000041420
Meox1	17285	mesenchyme homeobox 1	mouse	Meox1	ENSMUSG00000001493
Meox2	17286	mesenchyme homeobox 2	mouse	Meox2	ENSMUSG00000036144
Mesp1	17292	mesoderm posterior 1	mouse	Mesp1	ENSMUSG00000030544
Mesp2	17293	mesoderm posterior 2	mouse	Mesp2	ENSMUSG00000030543
Mga	29808	MAX gene associated	mouse	Mga	ENSMUSG00000033943
Mier1	71148	mesoderm induction early response 1 homolog (Xenopus laevis	mouse	Mier1	ENSMUSG00000028522
Mier2	70427	"mesoderm induction early response 1, family member 2"	mouse	Mier2	ENSMUSG00000042570
Mier3	218613	"mesoderm induction early response 1, family member 3"	mouse	Mier3	ENSMUSG00000032727
Mitf	17342	microphthalmia-associated transcription factor	mouse	Mitf	ENSMUSG00000035158
Mixl1	27217	Mix1 homeobox-like 1 (Xenopus laevis)	mouse	Mixl1	ENSMUSG00000026497
Mkx	210719	mohawk homeobox	mouse	Mkx	ENSMUSG00000061013
Mllt1	64144	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1"	mouse	Mllt1	ENSMUSG00000024212
Mllt10	17354	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10"	mouse	Mllt10	ENSMUSG00000026743
Mllt11	56772	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11"	mouse	Mllt11	ENSMUSG00000053192
Mllt3	70122	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3"	mouse	Mllt3	ENSMUSG00000028496
Mllt4	17356	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4"	mouse	Afdn	ENSMUSG00000068036
Mllt6	246198	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6"	mouse	Mllt6	ENSMUSG00000038437
Mlx	21428	MAX-like protein X	mouse	Mlx	ENSMUSG00000017801
Mlxip	208104	MLX interacting protein	mouse	Mlxip	ENSMUSG00000038342
Mlxipl	58805	MLX interacting protein-like	mouse	Mlxipl	ENSMUSG00000005373
Mnt	17428	max binding protein	mouse	Mnt	ENSMUSG00000000282
Mnx1	15285	motor neuron and pancreas homeobox 1	mouse	Mnx1	ENSMUSG00000001566
Msc	17681	musculin	mouse	Msc	ENSMUSG00000025930
Msgn1	56184	mesogenin 1	mouse	Msgn1	ENSMUSG00000047002
Msx1	17701	msh homeobox 1	mouse	Msx1	ENSMUSG00000048450
Msx2	17702	msh homeobox 2	mouse	Msx2	ENSMUSG00000021469
Msx3	17703	msh homeobox 3	mouse	Msx3	ENSMUSG00000025469
Mta1	116870	metastasis associated 1	mouse	Mta1	ENSMUSG00000021144
Mta2	23942	"metastasis-associated gene family, member 2"	mouse	Mta2	ENSMUSG00000071646
Mta3	116871	metastasis associated 3	mouse	Mta3	ENSMUSG00000055817
Mtf1	17764	metal response element binding transcription factor 1	mouse	Mtf1	ENSMUSG00000028890
Mtf2	17765	metal response element binding transcription factor 2	mouse	Mtf2	ENSMUSG00000029267
Mxd1	17119	MAX dimerization protein 1	mouse	Mxd1	ENSMUSG00000001156
Mxd3	17121	Max dimerization protein 3	mouse	Mxd3	ENSMUSG00000021485
Mxd4	17122	Max dimerization protein 4	mouse	Mxd4	ENSMUSG00000037235
Mxi1	17859	"MAX interactor 1, dimerization protein"	mouse	Mxi1	ENSMUSG00000025025
Myb	17863	myeloblastosis oncogene	mouse	Myb	ENSMUSG00000019982
Mybl1	17864	myeloblastosis oncogene-like 1	mouse	Mybl1	ENSMUSG00000025912
Mybl2	17865	myeloblastosis oncogene-like 2	mouse	Mybl2	ENSMUSG00000017861
Myc	17869	myelocytomatosis oncogene	mouse	Myc	ENSMUSG00000022346
Mycl	16918	"v-myc myelocytomatosis viral oncogene homolog, lung carcinoma derived (avian)"	mouse	Mycl	ENSMUSG00000028654
Mycn	18109	"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)"	mouse	Mycn	ENSMUSG00000037169
Mycs	17870	"myc-like oncogene, s-myc protein"	mouse	Mycs	ENSMUSG00000044597
Myf5	17877	myogenic factor 5	mouse	Myf5	ENSMUSG00000000435
Myf6	17878	myogenic factor 6	mouse	Myf6	ENSMUSG00000035923
Mynn	80732	myoneurin	mouse	Mynn	ENSMUSG00000037730
Myod1	17927	myogenic differentiation 1	mouse	Myod1	ENSMUSG00000009471
Myog	17928	myogenin	mouse	Myog	ENSMUSG00000026459
Myrf	225908	myelin regulatory factor	mouse	Myrf	ENSMUSG00000036098
Mysm1	320713	"myb-like, SWIRM and MPN domains 1"	mouse	Mysm1	ENSMUSG00000062627
Myt1	17932	myelin transcription factor 1	mouse	Myt1	ENSMUSG00000010505
Myt1l	17933	myelin transcription factor 1-like	mouse	Myt1l	ENSMUSG00000061911
Mzf1	109889	myeloid zinc finger 1	mouse	Mzf1	ENSMUSG00000030380
Nanog	71950	Nanog homeobox	mouse	Nanog	ENSMUSG00000012396
Ncoa1	17977	nuclear receptor coactivator 1	mouse	Ncoa1	ENSMUSG00000020647
Ncoa2	17978	nuclear receptor coactivator 2	mouse	Ncoa2	ENSMUSG00000005886
Ncoa3	17979	nuclear receptor coactivator 3	mouse	Ncoa3	ENSMUSG00000027678
Ncoa4	27057	nuclear receptor coactivator 4	mouse	Ncoa4	ENSMUSG00000056234
Ncoa5	228869	nuclear receptor coactivator 5	mouse	Ncoa5	ENSMUSG00000039804
Ncoa6	56406	nuclear receptor coactivator 6	mouse	Ncoa6	ENSMUSG00000038369
Ncoa7	211329	nuclear receptor coactivator 7	mouse	Ncoa7	ENSMUSG00000039697
Ncor1	20185	nuclear receptor co-repressor 1	mouse	Ncor1	ENSMUSG00000018501
Ncor2	20602	nuclear receptor co-repressor 2	mouse	Ncor2	ENSMUSG00000029478
Neurod1	18012	neurogenic differentiation 1	mouse	Neurod1	ENSMUSG00000034701
Neurod2	18013	neurogenic differentiation 2	mouse	Neurod2	ENSMUSG00000038255
Neurod4	11923	neurogenic differentiation 4	mouse	Neurod4	ENSMUSG00000048015
Neurod6	11922	neurogenic differentiation 6	mouse	Neurod6	ENSMUSG00000037984
Neurog1	18014	neurogenin 1	mouse	Neurog1	ENSMUSG00000048904
Neurog2	11924	neurogenin 2	mouse	Neurog2	ENSMUSG00000027967
